#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,1715.770727,0.0
-100.0,100,1720.093085,0.0
-100.0,100,1724.383865,0.0
-100.0,100,1728.680802,0.0
-100.0,100,1732.95326,0.0
-100.0,100,1745.134462,0.0
-100.0,100,1749.462081,0.0
-100.0,100,1753.848969,0.0
-65.0,100,1758.221551,0.0
-100.0,100,1762.542534,0.0
-100.0,100,1766.872192,0.0
-100.0,100,1771.196591,0.0
-100.0,100,1775.586597,0.0
-100.0,100,1779.943688,0.0
-100.0,100,1783.723566,0.0
-100.0,100,1788.111389,0.0
-100.0,100,1792.538963,0.0
-100.0,100,1796.967426,0.0
-100.0,100,1801.319516,0.0
-100.0,100,1805.688172,0.0
-100.0,100,1810.110517,0.0
-100.0,100,1814.457106,0.0
-100.0,100,1818.876447,0.0
-100.0,100,1823.338452,0.0
-100.0,100,1827.757598,0.0
-100.0,100,1832.086026,0.0
-100.0,100,1836.361048,0.0
-100.0,100,1840.636292,0.0
-100.0,100,1845.107833,0.0
-100.0,100,1849.465678,0.0
-100.0,100,1853.76907,0.0
-100.0,100,1858.100888,0.0
-100.0,100,1862.527347,0.0
-100.0,100,1866.921211,0.0
-100.0,100,1871.306085,0.0
-100.0,100,1875.630735,0.0
-100.0,100,1879.940856,0.0
-100.0,100,1884.394643,0.0
-100.0,100,1888.734018,0.0
-100.0,100,1893.058424,0.0
-100.0,100,1897.47677,0.0
-100.0,100,1901.843425,0.0
-100.0,100,1906.212679,0.0
-100.0,100,1910.087603,0.0
-100.0,100,1914.516463,0.0
-100.0,100,1918.866202,0.0
-100.0,100,1923.277385,0.0
-99.0,100,1927.643839,0.0
-100.0,100,1932.025131,0.0
-100.0,100,1936.325939,0.0
-100.0,100,1940.701358,0.0
-100.0,100,1945.075413,0.0
-63.0,100,1949.535079,1.0
-100.0,100,1953.830403,0.0
-100.0,100,1958.156163,0.0
-100.0,100,1962.048854,0.0
-100.0,100,1966.366747,0.0
-100.0,100,1970.705589,0.0
-100.0,100,1975.07084,0.0
